PMT_Gain,Image_No,Image_title,PMT_Number,pixels,Intensity,,min,max,Laser_power
0.6,1,PMT6_20P_860_0001-0003,2,405000,1699.604,1402.481,422,4095,20
0.6,2,PMT6_6P_860-0003,2,405000,450.997,153.874,0,1906,6
0.6,3,PMT6_4P_860-0003,2,405000,364.686,67.563,0,1863,4
0.6,4,PMT6_2P_860-0003,2,405000,315.363,18.24,0,1866,2
0.6,5,PMT6_0P_860-0003,2,405000,297.123,0,0,1569,0
0.65,6,PMT65_0P_860-0003,2,405000,416.777,0,0,1909,0
0.65,7,PMT65_2P_860-0003,2,405000,450.36,33.583,0,2072,2
0.65,8,PMT65_4P_860-0003,2,405000,537.4,120.623,0,2385,4
0.65,9,PMT65_6P_860-0003,2,405000,679.166,262.389,0,2662,6
0.65,10,PMT65_8P_860-0003,2,405000,856.197,439.42,0,3022,8
0.65,11,PMT65_10P_860-0003,2,405000,1056.346,639.569,0,4050,10
0.65,12,PMT65_12P_860-0003,2,405000,1272.171,855.394,26,4095,12
0.65,13,PMT65_14P_860-0003,2,405000,1506.465,1089.688,47,4095,14
0.65,14,PMT65_16P_860-0003,2,405000,1717.001,1300.224,166,4095,16
0.65,15,PMT65_18P_860-0003,2,405000,1928.95,1512.173,292,4095,18
0.65,16,PMT65_20P_860-0003,2,405000,2115.582,1698.805,64,4095,20
0.7,17,PMT7_20P_860-0003,2,405000,3063.645,2435.667,855,4095,20
0.7,18,PMT7_18P_860-0003,2,405000,2730.272,2102.294,343,4095,18
0.7,19,PMT7_16P_860-0003,2,405000,2392.9,1764.922,259,4095,16
0.7,20,PMT7_14P_860-0003,2,405000,2039.32,1411.342,252,4095,14
0.7,21,PMT7_12P_860-0003,2,405000,1698.602,1070.624,57,4095,12
0.7,22,PMT7_10P_860-0003,2,405000,1383.47,755.492,0,4095,10
0.7,23,PMT7_8P_860-0003,2,405000,1124.237,496.259,0,4052,8
0.7,24,PMT7_6P_860-0003,2,405000,910.588,282.61,0,3581,6
0.7,25,PMT7_4P_860-0003,2,405000,758.302,130.324,0,2895,4
0.7,26,PMT7_2P_860-0003,2,405000,663.887,35.909,0,3015,2
0.7,27,PMT7_0P_860-0003,2,405000,627.978,0,0,2936,0
0.75,28,PMT75_0P_860-0003,2,405000,1001.247,22.86,0,3699,0
0.75,29,PMT75_2P_860-0003,2,405000,1036.486,58.099,0,3725,2
0.75,30,PMT75_4P_860-0003,2,405000,1113.328,134.941,0,3951,4
0.75,31,PMT75_6P_860-0003,2,405000,1222.707,244.32,0,3970,6
0.75,32,PMT75_8P_860-0003,2,405000,1333.348,354.961,0,4081,8
0.75,36,PMT75_10P_860_0001-0003,2,405000,3137.791,2159.404,871,4095,10
0.75,37,PMT75_4P_860_0004-0003,2,405000,1436.4,458.013,0,4053,4
0.75,38,PMT75_8P_860_0001-0003,2,405000,2441.937,1463.55,224,4095,8
0.75,39,PMT75_6P_860_0001-0003,2,405000,1849.571,871.184,62,4050,6
0.75,40,PMT75_4P_860_0005-0003,2,405000,1387.172,408.785,0,3918,4
0.75,41,PMT75_2P_860_0001-0003,2,405000,1094.153,115.766,0,3762,2
0.75,42,PMT75_0P_860_0001-0003,2,405000,978.387,0,0,3700,0
0.75,43,PMT75_12P_860-0003,2,405000,3277.565,2299.178,775,4095,12
0.75,44,PMT75_14P_860-0003,2,405000,3669.53,2691.143,954,4095,14
0.7,45,PMT7_14P_860_0001-0003,2,405000,2287.106,1671.187,129,4095,14
0.7,46,PMT7_12P_860_0001-0003,2,405000,1890.1,1274.181,101,4090,12
0.7,47,PMT7_16P_860_0001-0003,2,405000,2540.198,1924.279,209,4095,16
0.7,48,PMT7_18P_860_0001-0003,2,405000,2952.018,2336.099,46,4095,18
0.7,49,PMT7_20P_860_0001-0003,2,405000,3135.927,2520.008,0,4095,20
0.7,50,PMT7_12P_860_0002-0003,2,405000,1565.995,950.076,0,4095,12
0.7,51,PMT7_10P_860_0001-0003,2,405000,1277.537,661.618,0,4089,10
0.7,52,PMT7_8P_860_0001-0003,2,405000,1033.931,418.012,0,3975,8
0.7,53,PMT7_6P_860_0001-0003,2,405000,854.042,238.123,0,4095,6
0.7,54,PMT7_4P_860_0001-0003,2,405000,720.902,104.983,0,4095,4
0.7,55,PMT7_2P_860_0001-0003,2,405000,643.98,28.061,0,3553,2
0.7,56,PMT7_0P_860_0001-0003,2,405000,615.919,0,0,2979,0
0.65,57,PMT65_0P_860_0001-0003,2,405000,399.466,0,0,1942,0
0.65,58,PMT65_2P_860_0001-0003,2,405000,411.898,12.432,0,2575,2
0.65,59,PMT65_4P_860_0001-0003,2,405000,437.435,37.969,0,3947,4
0.65,60,PMT65_6P_860_0001-0003,2,405000,477.285,77.819,0,4095,6
0.65,62,PMT65_8P_860_0002-0003,2,405000,1024.615,625.149,1,3000,8
0.65,63,PMT65_10P_860_0001-0003,2,405000,1351.68,952.214,139,3158,10
0.65,64,PMT65_12P_860_0001-0003,2,405000,1714.509,1315.043,355,3673,12
0.65,65,PMT65_14P_860_0001-0003,2,405000,2091.143,1691.677,507,4010,14
0.65,66,PMT65_16P_860_0001-0003,2,405000,2461.115,2061.649,842,4020,16
0.65,67,PMT65_18P_860_0001-0003,2,405000,2821.47,2422.004,1138,4090,18
0.65,68,PMT65_20P_860_0001-0003,2,405000,3155.657,2756.191,1428,4095,20
0.65,69,PMT65_8P_860_0003-0003,2,405000,1019.28,619.814,4,2732,8
0.65,70,PMT65_6P_860_0002-0003,2,405000,764.947,365.481,0,2522,6
0.65,71,PMT65_4P_860_0002-0003,2,405000,564.662,165.196,0,2074,4
0.65,72,PMT65_2P_860_0002-0003,2,405000,445.834,46.368,0,1861,2
0.65,73,PMT65_0P_860_0002-0003,2,405000,399.533,0.067,0,1906,0
0.6,74,PMT6_0P_860_0001-0003,2,405000,268.99,0,0,1481,0
0.6,75,PMT6_2P_860_0001-0003,2,405000,289.627,20.637,0,1623,2
0.6,76,PMT6_4P_860_0001-0003,2,405000,344.689,75.699,0,1624,4
0.6,77,PMT6_6P_860_0001-0003,2,405000,443.291,174.301,0,1791,6
0.6,78,PMT6_8P_860_0001-0003,2,405000,578.292,309.302,0,1995,8
0.6,79,PMT6_10P_860_0001-0003,2,405000,755.284,486.294,0,2419,10
0.6,80,PMT6_12P_860_0001-0003,2,405000,956.547,687.557,58,3583,12
0.6,81,PMT6_14P_860_0001-0003,2,405000,1168.917,899.927,105,3737,14
0.6,82,PMT6_16P_860_0001-0003,2,405000,1380.099,1111.109,270,3918,16
0.6,83,PMT6_18P_860_0001-0003,2,405000,1596.169,1327.179,465,4095,18
0.6,84,PMT6_20P_860_0002-0003,2,405000,1794.354,1525.364,629,4095,20
0.7,85,PMT7_20P_860_0002-0003,2,405000,3889.618,3287.891,2089,4095,20
0.7,86,PMT7_18P_860_0002-0003,2,405000,3733.74,3132.013,1834,4095,18
0.7,87,PMT7_16P_860_0002-0003,2,405000,3488.811,2887.084,1765,4095,16
0.7,88,PMT7_14P_860_0002-0003,2,405000,3119.723,2517.996,1194,4095,14
0.7,89,PMT7_12P_860_0003-0003,2,405000,2660.197,2058.47,819,4095,12
0.7,90,PMT7_10P_860_0002-0003,2,405000,2141.176,1539.449,564,4095,10
0.7,91,PMT7_8P_860_0002-0003,2,405000,1652.618,1050.891,154,4095,8
0.7,92,PMT7_6P_860_0002-0003,2,405000,1235.061,633.334,15,4000,6
0.7,93,PMT7_4P_860_0002-0003,2,405000,902.659,300.932,0,3128,4
0.7,94,PMT7_2P_860_0002-0003,2,405000,686.922,85.195,0,2896,2
0.7,95,PMT7_0P_860_0002-0003,2,405000,601.727,0,0,2741,0
0.75,96,PMT75_0P_860_0002-0003,2,405000,930.783,0,0,3782,0
0.75,97,PMT75_2P_860_0002-0003,2,405000,1076.344,145.561,0,3751,2
0.75,98,PMT75_4P_860_0006-0003,2,405000,1432.448,501.665,0,3999,4
0.75,99,PMT75_6P_860_0002-0003,2,405000,1964.968,1034.185,229,4093,6
0.75,100,PMT75_8P_860_0002-0003,2,405000,2545.548,1614.765,393,4095,8
0.75,101,PMT75_10P_860_0002-0003,2,405000,3107.418,2176.635,444,4095,10
0.75,102,PMT75_12P_860_0001-0003,2,405000,3503.302,2572.519,354,4095,12
0.75,103,PMT75_14P_860_0001-0003,2,405000,3735.787,2805.004,858,4095,14
0.75,104,PMT75_16P_860-0003,2,405000,3860.669,2929.886,307,4095,16
0.8,105,PMT8_16P_860-0003,2,405000,3990.739,2534.25,377,4095,16
0.8,106,PMT8_14P_860-0003,2,405000,3919.93,2463.441,379,4095,14
0.8,107,PMT8_12P_860-0003,2,405000,3794.668,2338.179,416,4095,12
0.8,108,PMT8_10P_860-0003,2,405000,3580.112,2123.623,735,4095,10
0.8,109,PMT8_8P_860-0003,2,405000,3210.898,1754.409,721,4095,8
0.8,110,PMT8_6P_860-0003,2,405000,2671.649,1215.16,399,4095,6
0.8,111,PMT8_4P_860-0003,2,405000,2071.577,615.088,64,4095,4
0.8,112,PMT8_2P_860-0003,2,405000,1637.872,181.383,0,4051,2
0.8,113,PMT8_0P_860-0003,2,405000,1456.489,0,0,4095,0
0.9,114,PMT9_0P_750_0001-0002,1,405000,2376.711,0,245,4095,0
0.9,115,PMT9_2P_750_0001-0002,1,405000,2722.046,345.335,416,4095,2
0.9,116,PMT9_4P_750_0001-0002,1,405000,3214.843,838.132,731,4095,4
0.9,117,PMT9_6P_750_0001-0002,1,405000,3699.033,1322.322,1365,4095,6
0.85,118,PMT85_6P_750_0001-0002,1,405000,2687.262,1167.108,693,4095,6
0.85,119,PMT85_4P_750_0001-0002,1,405000,2169.163,649.009,430,4095,4
0.85,120,PMT85_2P_750_0001-0002,1,405000,1771.489,251.335,203,4095,2
0.85,121,PMT85_0P_750_0001-0002,1,405000,1520.154,0,129,4095,0
0.85,122,PMT85_10P_750_0001-0002,1,405000,3640.348,2120.194,1727,4095,10
0.85,123,PMT85_12P_750_0001-0002,1,405000,3931.277,2411.123,2195,4095,12
0.85,124,PMT85_14P_750_0001-0002,1,405000,4047.824,2527.67,2470,4095,14
0.8,125,PMT8_14P_750_0001-0002,1,405000,3300.049,2336.677,1455,4095,14
0.8,126,PMT8_16P_750_0001-0002,1,405000,3632.124,2668.752,1839,4095,16
0.8,127,PMT8_18P_750-0002,1,405000,3865.157,2901.785,2169,4095,18
0.8,128,PMT8_20P_750-0002,1,405000,3995.596,3032.224,2423,4095,20
0.8,129,PMT8_12P_750_0001-0002,1,405000,2649.045,1685.673,1005,4095,12
0.8,130,PMT8_10P_750_0001-0002,1,405000,2229.593,1266.221,757,4095,10
0.8,131,PMT8_8P_750_0001-0002,1,405000,1847.394,884.022,480,4095,8
0.8,132,PMT8_6P_750_0001-0002,1,405000,1549.788,586.416,403,3996,6
0.8,133,PMT8_4P_750_0002-0002,1,405000,1298.723,335.351,237,3558,4
0.8,134,PMT8_2P_750_0001-0002,1,405000,1100.511,137.139,91,3889,2
0.8,135,PMT8_0P_750_0001-0002,1,405000,963.372,0,72,3124,0
0.75,136,PMT75_0P_750_0001-0002,1,405000,556.892,0,26,1855,0
0.75,137,PMT75_2P_750_0001-0002,1,405000,634.75,77.858,57,2023,2
0.75,138,PMT75_4P_750_0002-0002,1,405000,733.411,176.519,88,2043,4
0.75,139,PMT75_6P_750_0001-0002,1,405000,848.372,291.48,178,2217,6
0.75,140,PMT75_8P_750_0001-0002,1,405000,971.082,414.19,176,2640,8
0.75,141,PMT75_10P_750_0001-0002,1,405000,1112.107,555.215,265,2545,10
0.75,142,PMT75_12P_750_0001-0002,1,405000,1258.841,701.949,351,3083,12
0.75,143,PMT75_14P_750_0001-0002,1,405000,1417.338,860.446,477,3274,14
0.75,144,PMT75_16P_750_0001-0002,1,405000,1581.245,1024.353,587,3385,16
0.75,145,PMT75_18P_750_0001-0002,1,405000,1751.407,1194.515,676,3821,18
0.75,146,PMT75_20P_750_0001-0002,1,405000,1943.503,1386.611,792,4095,20
0.7,147,PMT7_20P_750_0001-0002,1,405000,1087.61,717.636,446,2391,20
0.7,148,PMT7_18P_750_0001-0002,1,405000,959.955,589.981,331,2111,18
0.75,149,PMT75_18P_750_0002-0002,1,405000,3411.746,2853.222,1948,4095,18
0.75,150,PMT75_16P_750_0002-0002,1,405000,2956.32,2397.796,1526,4095,16
0.75,151,PMT75_14P_750_0002-0002,1,405000,2501.8,1943.276,1251,4095,14
0.75,152,PMT75_12P_750_0002-0002,1,405000,2080.046,1521.522,999,4095,12
0.75,153,PMT75_10P_750_0002-0002,1,405000,1687.733,1129.209,767,3837,10
0.75,154,PMT75_8P_750_0002-0002,1,405000,1347.969,789.445,473,2862,8
0.75,155,PMT75_6P_750_0002-0002,1,405000,1066.53,508.006,336,2637,6
0.75,156,PMT75_4P_750_0003-0002,1,405000,830.526,272.002,153,2190,4
0.75,157,PMT75_2P_750_0002-0002,1,405000,659.067,100.543,99,1928,2
0.75,158,PMT75_0P_750_0002-0002,1,405000,558.524,0,30,2040,0
0.7,159,PMT7_0P_750_0001-0002,1,405000,369.974,0,21,1188,0
0.7,160,PMT7_2P_750_0001-0002,1,405000,437.19,67.216,40,1324,2
0.7,161,PMT7_4P_750_0001-0002,1,405000,554.912,184.938,70,1493,4
0.7,162,PMT7_6P_750_0001-0002,1,405000,715.439,345.465,215,1683,6
0.7,163,PMT7_8P_750_0001-0002,1,405000,913.999,544.025,346,2672,8
0.7,164,PMT7_10P_750_0001-0002,1,405000,1160.708,790.734,483,2990,10
0.7,165,PMT7_12P_750_0001-0002,1,405000,1438.997,1069.023,663,3938,12
0.7,166,PMT7_14P_750_0001-0002,1,405000,1744.407,1374.433,898,4095,14
0.7,167,PMT7_16P_750_0001-0002,1,405000,2055.818,1685.844,1137,4095,16
0.7,168,PMT7_18P_750_0002-0002,1,405000,2393.424,2023.45,1368,4095,18
0.7,169,PMT7_20P_750_0002-0002,1,405000,2747.348,2377.374,1632,4095,20
0.65,170,PMT65_20P_750_0001-0002,1,405000,1254.231,1076.322,732,3490,20
0.65,171,PMT65_18P_750_0001-0002,1,405000,1094.643,916.734,618,2576,18
0.65,172,PMT65_20P_750_0002-0002,1,405000,1217.977,1040.068,576,3541,20
0.65,173,PMT65_18P_750_0002-0002,1,405000,1088.205,910.296,518,3014,18
0.65,174,PMT65_18P_750_0003-0002,1,405000,1607.552,1429.643,941,4095,18
0.65,175,PMT65_20P_750_0003-0002,1,405000,1860.726,1682.817,1163,4095,20
0.65,176,PMT65_16P_750_0001-0002,1,405000,1354.458,1176.549,775,3931,16
0.65,177,PMT65_16P_750_0002-0002,1,405000,1357.506,1179.597,725,4095,16
0.65,178,PMT65_14P_750_0001-0002,1,405000,1139.177,961.268,651,3561,14
0.65,179,PMT65_12P_750_0001-0002,1,405000,926.296,748.387,416,3068,12
0.65,180,PMT65_8P_750_0001-0002,1,405000,563.264,385.355,222,1838,8
0.65,181,PMT65_10P_750_0001-0002,1,405000,734.934,557.025,322,2403,10
0.65,182,PMT65_6P_750_0001-0002,1,405000,418.141,240.232,121,914,6
0.65,183,PMT65_4P_750_0001-0002,1,405000,299.251,121.342,48,800,4
0.65,184,PMT65_2P_750_0001-0002,1,405000,217.923,40.014,15,597,2
0.65,185,PMT65_0P_750_0001-0002,1,405000,177.909,0,0,598,0
0.6,186,PMT6_20P_750_0001-0002,1,405000,747.233,652.126,432,1933,20
0.6,187,PMT6_18P_750_0001-0002,1,405000,645.227,550.12,362,1618,18
0.6,188,PMT6_18P_750_0002-0002,1,405000,643.31,548.203,348,1619,18
0.6,189,PMT6_16P_750_0001-0002,1,405000,548.14,453.033,269,1543,16
0.6,190,PMT6_14P_750_0001-0002,1,405000,463.905,368.798,186,1222,14
0.6,191,PMT6_12P_750_0001-0002,1,405000,384.872,289.765,144,946,12
0.6,192,PMT6_10P_750_0001-0002,1,405000,310.316,215.209,91,799,10
0.6,193,PMT6_8P_750_0002-0002,1,405000,243.754,148.647,45,627,8
0.6,194,PMT6_6P_750-0002,1,405000,188.113,93.006,7,514,6
0.6,195,PMT6_4P_750_0001-0002,1,405000,143.439,48.332,1,461,4
0.6,196,PMT6_2P_750_0001-0002,1,405000,111.983,16.876,0,390,2
0.6,197,PMT6_0P_750_0001-0002,1,405000,95.107,0,0,359,0